ref_country,neighbor_list,list_len
AD,ES FR,2
AE,OM SA,2
AF,CN IR PK TJ TM UZ,6
AL,GR ME MK,3
AM,AZ GE IR TR,4
AO,CD CG NA ZM,4
AR,BO BR CL PY UY,5
AT,CH CZ DE HU IT LI SI SK,8
AZ,AM GE IR RU TR,5
BA,HR ME RS,3
BD,IN MM,2
BE,DE FR LU NL,4
BF,BJ CI GH ML NE TG,6
BG,GR MK RO RS TR,5
BI,CD RW TZ,3
BJ,BF NE NG TG,4
BN,MY,1
BO,AR BR CL PE PY,5
BQ,NL,1
BR,AR BO CO GF GY PE PY SR UY VE,10
BT,CN IN,2
BW,NA ZA ZM ZW,4
BY,LT LV PL RU UA,5
BZ,GT MX,2
CA,US,1
CD,AO BI CF CG RW SS TZ UG ZM,9
CF,CD CG CM SD SS TD,6
CG,AO CD CF CM GA,5
CH,AT DE FR IT LI,5
CI,BF GH GN LR ML,5
CL,AR BO PE,3
CM,CF CG GA GQ NG TD,6
CN,AF BT HK IN KG KP KZ LA MM MN NP PK RU TJ VN,15
CO,BR EC PA PE VE,5
CR,NI PA,2
CZ,AT DE PL SK,4
DE,AT BE CH CZ DK FR LU NL PL,9
DJ,ER ET,2
DK,DE,1
DO,HT,1
DZ,EH LY MA ML MR NE TN,7
EC,CO PE,2
EE,LV RU,2
EG,IL LY PS SD,4
EH,DZ MA MR,3
ER,DJ ET SD,3
ES,AD FR GI MA PT,5
ET,DJ ER KE SD SO SS,6
FI,NO RU SE,3
FR,AD BE CH DE ES IT LU MC,8
GA,CG CM GQ,3
GB,IE,1
GE,AM AZ RU TR,4
GF,BR SR,2
GH,BF CI TG,3
GI,ES,1
GM,SN,1
GN,CI GW LR ML SL SN,6
GQ,CM GA,2
GR,AL BG MK TR,4
GT,BZ HN MX SV,4
GW,GN SN,2
GY,BR SR VE,3
HK,CN,1
HN,GT NI SV,3
HR,BA HU ME RS SI,5
HT,DO,1
HU,AT HR RO RS SI SK UA,7
ID,MY PG TL,3
IE,GB,1
IL,EG JO LB PS XD,5
IN,BD BT CN MM NP PK,6
IQ,IR JO KW SA SY TR,6
IR,AF AM AZ IQ PK TM TR,7
IT,AT CH FR SI SM VA,6
JO,IL IQ PS SA SY XD,6
KE,ET SO SS TZ UG,5
KG,CN KZ TJ UZ,4
KH,LA TH VN,3
KP,CN RU,2
KW,IQ SA,2
KZ,CN KG RU TM UZ,5
LA,CN KH MM TH VN,5
LB,IL SY XD,3
LI,AT CH,2
LR,CI GN SL,3
LS,ZA,1
LT,BY LV PL RU,4
LU,BE DE FR,3
LV,BY EE LT RU,4
LY,DZ EG NE SD TD TN,6
MA,DZ EH ES,3
MC,FR,1
MD,RO UA,2
ME,AL BA HR RS,4
MF,SX,1
MK,AL BG GR RS,4
ML,BF CI DZ GN MR NE SN,7
MM,BD CN IN LA TH,5
MN,CN RU,2
MR,DZ EH ML SN,4
MW,MZ TZ ZM,3
MX,BZ GT US,3
MY,BN ID TH,3
MZ,MW SZ TZ ZA ZM ZW,6
NA,AO BW ZA ZM ZW,5
NE,BF BJ DZ LY ML NG TD,7
NG,BJ CM NE TD,4
NI,CR HN,2
NL,BE BQ DE,3
NO,FI RU SE,3
NP,CN IN,2
OM,AE SA YE,3
PA,CO CR,2
PE,BO BR CL CO EC,5
PG,ID,1
PK,AF CN IN IR,4
PL,BY CZ DE LT RU SK UA,7
PS,EG IL JO,3
PT,ES,1
PY,AR BO BR,3
QA,SA,1
RO,BG HU MD RS UA,5
RS,BA BG HR HU ME MK RO,7
RU,AZ BY CN EE FI GE KP KZ LT LV MN NO PL UA,14
RW,BI CD TZ UG,4
SA,AE IQ JO KW OM QA YE,7
SD,CF EG ER ET LY SS TD,7
SE,FI NO,2
SI,AT HR HU IT,4
SK,AT CZ HU PL UA,5
SL,GN LR,2
SM,IT,1
SN,GM GN GW ML MR,5
SO,ET KE,2
SR,BR GF GY,3
SS,CD CF ET KE SD UG,6
SV,GT HN,2
SX,MF,1
SY,IQ JO LB TR XD,5
SZ,MZ ZA,2
TD,CF CM LY NE NG SD,6
TG,BF BJ GH,3
TH,KH LA MM MY,4
TJ,AF CN KG UZ,4
TL,ID,1
TM,AF IR KZ UZ,4
TN,DZ LY,2
TR,AM AZ BG GE GR IQ IR SY,8
TZ,BI CD KE MW MZ RW UG ZM,8
UA,BY HU MD PL RO RU SK,7
UG,CD KE RW SS TZ,5
US,CA MX,2
UY,AR BR,2
UZ,AF KG KZ TJ TM,5
VA,IT,1
VE,BR CO GY,3
VN,CN KH LA,3
XD,IL JO LB SY,4
YE,OM SA,2
ZA,BW LS MZ NA SZ ZW,6
ZM,AO BW CD MW MZ NA TZ ZW,8
ZW,BW MZ NA ZA ZM,5


