ref_country,neighbor_list
"-99","{DE,ET,AL,FI,CU,-99,DJ,BE,BR,ES}"
"AZ","{AM}"
"BF","{BJ}"
"BR","{AR}"
"CD","{AO}"
"CG","{CM,CF}"
"CH","{AT}"
"CL","{AR}"
"CM","{CF}"
"CN","{BT}"
"CO","{BR}"
"CY","{-99}"
"CZ","{AT}"
"DE","{BE}"
"DK","{DE}"
"EC","{CO}"
"EH","{DZ}"
"ET","{DJ}"
"GE","{AZ,AM}"
"GH","{BF}"
"GQ","{GA}"
"GY","{BR}"
"HK","{CN}"
"HR","{BA}"
"HT","{DO}"
"HU","{AT}"
"IE","{GB}"
"IL","{EG}"
"IN","{BT,BD,CN}"
"IQ","{IR}"
"IR","{AM,AZ}"
"IT","{-99}"
"KP","{KR,CN}"
"KW","{IQ}"
"KZ","{CN}"
"LI","{CH,AT}"
"LR","{GN}"
"LV","{BY}"
"LY","{DZ}"
"MA","{ES}"
"ME","{AL,-99}"
"MK","{BG,-99,AL}"
"ML","{BF,DZ,GN}"
"MM","{CN,BD,IN}"
"MW","{MZ}"
"MX","{BZ}"
"MY","{BN,ID}"
"NA","{BW}"
"NE","{BJ,BF,DZ,LY,ML}"
"NI","{CR,HN}"
"NL","{BE,DE}"
"OM","{AE}"
"PA","{CO,CR}"
"PE","{EC,BR,CL,CO}"
"PG","{ID}"
"PK","{CN,IN,IR}"
"PL","{CZ,BY}"
"PS","{EG,IL}"
"PT","{ES}"
"PY","{BO}"
"RO","{BG,HU}"
"RS","{HR,BA}"
"RU","{GE,-99,KP,KZ,AZ,CN,FI,LT,EE}"
"RW","{BI}"
"SA","{AE,IQ,KW,OM}"
"SD","{EG,ER}"
"SE","{-99,FI}"
"SI","{AT,HU}"
"SK","{AT,HU,PL,CZ}"
"SN","{GN,ML,GM}"
"SO","{KE}"
"SS","{CD,KE,SD}"
"SV","{HN}"
"SX","{MF}"
"SY","{IL,IQ}"
"TD","{CF,CM,LY,NE}"
"TG","{BJ,BF,GH}"
"TH","{KH,MM,MY}"
"TJ","{CN}"
"TL","{ID}"
"TM","{IR,KZ}"
"TR","{IQ,AM,AZ,GE,GR,IR,SY}"
"TZ","{KE,CD,MZ,MW}"
"UA","{MD,RU}"
"UG","{RW}"
"US","{CA,MX}"
"UZ","{TJ,KZ,TM}"
"VE","{GY,BR,CO}"
"VN","{CN,KH}"
"YE","{OM,SA}"
"ZA","{MZ}"
"ZM","{BW,NA}"
"ZW","{BW,ZM,NA}"
