iso_a2,utm_codes
AD,31T
AE,39Q 40Q 39R 40R
AF,41R 42R 41S 42S 43S
AG,20Q
AI,20Q
AL,34S 34T
AM,38S 38T
AO,32K 33K 34K 32L 33L 34L 35L 33M 34M
AQ,
AR,18F 19F 20F 18G 19G 20G 19H 20H 21H 19J 20J 21J 22J 19K 20K
AS,2L
AT,32T 33T 33U
AU,57F 54G 55G 50H 51H 52H 53H 54H 55H 56H 49J 50J 51J 52J 53J 54J 55J 56J 57J 49K 50K 51K 52K 53K 54K 55K 56K 51L 52L 53L 54L 55L
AW,19P
AX,34V
AZ,38S 39S 38T 39T
BA,33T 34T
BB,21P
BD,45Q 46Q 45R 46R
BE,31U 32U
BF,30P 31P
BG,34T 35T
BH,39R
BI,35M 36M
BJ,31N 31P
BL,20Q
BM,20S
BN,49N 50N
BO,19K 20K 21K 19L 20L
BQ,19P 20Q
BR,22H 21J 22J 23J 20K 21K 22K 23K 24K 26K 18L 19L 20L 21L 22L 23L 24L 25L 18M 19M 20M 21M 22M 23M 24M 25M 19N 20N 21N 22N 26N
BS,17Q 18Q 17R 18R
BT,45R 46R
BV,31F
BW,34J 35J 34K 35K
BY,34U 35U 36U 35V
BZ,16P 16Q
CA,16T 17T 18T 19T 20T 21T 22T 8U 9U 10U 11U 12U 13U 14U 15U 16U 17U 18U 19U 20U 21U 22U 7V 8V 9V 10V 11V 12V 13V 14V 15V 16V 17V 18V 19V 20V 7W 8W 9W 10W 11W 12W 13W 14W 15W 16W 17W 18W 19W 20W 10X 11X 12X 13X 14X 15X 16X 17X 18X 19X 20X
CC,47L
CD,33L 34L 35L 36L 33M 34M 35M 36M 33N 34N 35N 36N
CF,33N 34N 35N 33P 34P 35P
CG,32M 33M 33N 34N
CH,31T 32T
CI,29N 30N 29P 30P
CK,4K 3L 4L
CL,18F 19F 18G 19G 17H 18H 19H 12J 13J 17J 19J 19K
CM,32N 33N 33P
CN,47Q 48Q 49Q 50Q 44R 45R 46R 47R 48R 49R 50R 51R 43S 44S 45S 46S 47S 48S 49S 50S 51S 43T 44T 45T 46T 47T 48T 49T 50T 51T 52T 53T 45U 50U 51U 52U 53U
CO,18M 19M 17N 18N 19N 17P 18P 19P
CR,16N 16P 17P
CU,16Q 17Q 18Q
CV,26P 27P 26Q 27Q
CW,19P
CX,48L
CY,36S
CZ,33U 34U
DE,32T 33T 31U 32U 33U
DJ,37P 38P
DK,32U 33U 32V 33V
DM,20P
DO,18Q 19Q
DZ,30Q 31Q 32Q 29R 30R 31R 32R 30S 31S 32S
EC,15M 16M 17M 18M 15N 17N 18N
EE,34V 35V
EG,35Q 36Q 37Q 35R 36R
EH,28Q 28R 29R
ER,37P 38P 37Q
ES,27R 28R 29S 30S 31S 29T 30T 31T
ET,36N 37N 38N 36P 37P 38P
FI,34V 35V 36V 34W 35W 36W
FJ,1K 60K 60L
FK,20F 21F
FM,55N 56N 57N 58N 54P 55P 56P
FO,29V
FR,30T 31T 32T 30U 31U 32U
GA,32M 33M 32N 33N
GB,29U 30U 31U 28V 29V 30V
GD,20P
GE,37T 38T
GF,21N 22N
GG,30U
GH,30N 31N 30P 31P
GI,30S
GL,22V 23V 24V 21W 22W 23W 24W 25W 26W 27W 18X 19X 20X 21X 22X 23X 24X 25X 26X 27X 28X 29X
GM,28P
GN,29N 28P 29P
GP,20P 20Q
GQ,31M 32N
GR,34S 35S 34T 35T
GS,26E 24F 25F
GT,15P 16P 15Q 16Q
GU,55P
GW,28P
GY,20N 21N 20P 21P
HK,49Q 50Q
HM,43F
HN,16P 17P 16Q 17Q
HR,33T 34T
HT,18Q 19Q
HU,33T 34T 33U 34U
ID,49L 50L 51L 52L 53L 54L 47M 48M 49M 50M 51M 52M 53M 54M 46N 47N 48N 49N 50N 51N 52N 53N
IE,29U 30U
IL,36R 36S
IM,30U
IN,46N 43P 44P 46P 42Q 43Q 44Q 45Q 46Q 42R 43R 44R 45R 46R 47R 43S 44S
IO,42M 43M
IQ,37R 38R 39R 37S 38S
IR,38R 39R 40R 41R 38S 39S 40S 41S
IS,27V 28V 26W 27W 28W
IT,32S 33S 34S 32T 33T 34T
JE,30U
JM,17Q 18Q
JO,36R 37R 36S 37S
JP,51R 52R 54R 56R 52S 53S 54S 54T 55T
KE,36M 37M 36N 37N
KG,42S 43S 42T 43T 44T
KH,48P
KI,5L 1M 2M 5M 59M 60M 4N 59N
KM,38L
KN,20Q
KP,51S 52S 51T 52T
KR,51S 52S
KW,38R 39R
KY,17Q
KZ,38T 39T 40T 41T 42T 43T 44T 45T 38U 39U 40U 41U 42U 43U 44U 45U
LA,48P 47Q 48Q
LB,36S 37S
LC,20P
LI,32T
LK,44N 44P
LR,29N 29P
LS,35J
LT,34U 35U 34V 35V
LU,31U 32U
LV,35U 34V 35V
LY,32Q 33Q 34Q 35Q 32R 33R 34R 35R 32S 33S 34S 35S
MA,28Q 28R 29R 30R 29S 30S
MC,32T
MD,35T 36T 35U
ME,34T
MF,20Q
MG,38J 38K 39K 38L 39L
MH,59N 58P 59P
MK,34T
ML,28P 29P 30P 31P 29Q 30Q 31Q 29R 30R
MM,46P 47P 46Q 47Q 46R 47R
MN,45T 46T 47T 48T 49T 50T 45U 46U 47U 48U 49U 50U
MO,49Q
MP,55P 55Q
MQ,20P
MR,28P 29P 30P 28Q 29Q 30Q 28R 29R 30R
MS,20Q
MT,33S
MU,40K 41K 40L
MV,43M 43N
MW,36K 36L
MX,14P 15P 11Q 12Q 13Q 14Q 15Q 16Q 11R 12R 13R 14R 11S 12S
MY,47N 48N 49N 50N
MZ,36J 36K 37K 36L 37L
NA,33J 34J 32K 33K 34K 35K
NC,58K 59K
NE,31P 32P 33P 31Q 32Q 33Q
NF,58J
NG,31N 32N 33N 31P 32P 33P
NI,16P 17P
NL,19P 20Q 31U 32U
NO,32V 33V 33W 34W 35W 36W 32W
NP,44R 45R
NR,58M
NU,2K
NZ,58F 59F 60F 1G 58G 59G 60G 59H 60H 1J
OM,39Q 40Q 40R
PA,17N 18N 17P 18P
PE,18K 19K 17L 18L 19L 17M 18M 19M
PF,6J 5K 6K 7K 8K 5L 6L 7L 7M
PG,54L 55L 56L 54M 55M 56M
PH,50N 51N 52N 50P 51P 52P 50Q 51Q
PK,42Q 41R 42R 43R 42S 43S
PL,33U 34U 35U
PM,21T
PN,9J 10J 9K
PR,19Q 20Q
PS,36R 36S
PT,28R 25S 26S 28S 29S 29T
PW,52N 53N 53P
PY,20J 21J 20K 21K
QA,39R
RE,40K
RO,34T 35T 34U 35U
RS,34T
RU,37T 38T 39T 52T 53T 54T 55T 56T 34U 35U 36U 37U 38U 39U 40U 41U 42U 43U 44U 45U 46U 47U 48U 49U 50U 51U 52U 53U 54U 55U 56U 57U 58U 59U 35V 36V 37V 38V 39V 40V 41V 42V 43V 44V 45V 46V 47V 48V 49V 50V 51V 52V 53V 54V 55V 56V 57V 58V 59V 60V 1W 2W 35W 36W 37W 38W 39W 40W 41W 42W 43W 44W 45W 46W 47W 48W 49W 50W 51W 52W 53W 54W 55W 56W 57W 58W 59W 60W 37X 38X 39X 40X 41X 42X 43X 44X 45X 46X 47X 48X 49X 50X 51X 52X 53X 54X 55X 56X 57X
RW,35M 36M
SA,37Q 38Q 39Q 40Q 36R 37R 38R 39R 37S
SB,57L 58L 59L 56M 57M
SC,38L 39M 40M
SD,34P 35P 36P 37P 34Q 35Q 36Q 37Q
SE,33U 32V 33V 34V 33W 34W 35W
SG,48N
SH,29G 28H 30K 30L 28M
SI,33T
SJ,33X 35X 37X
SK,33T 34T 33U 34U
SL,28N 29N 28P 29P
SM,33T
SN,28P 29P 28Q
SO,37M 38M 37N 38N 39N 38P 39P
SR,21N 22N
SS,35N 36N 35P 36P
ST,32N
SV,15P 16P
SX,20Q
SY,36S 37S 38S
SZ,36J
TC,18Q 19Q
TD,33N 33P 34P 33Q 34Q
TF,42F 39G 43H 37K 38K 38L 40L
TG,31N 30P 31P
TH,47N 48N 47P 48P 47Q 48Q
TJ,42S 43S 42T
TK,2L
TL,51L 52L
TM,39S 40S 41S 42S 39T 40T 41T
TN,32R 32S
TO,1K 2K 1L
TR,35S 36S 37S 38S 35T 36T 37T 38T
TT,20P
TV,60L 60M
TW,50Q 51Q 50R 51R
TZ,36L 37L 35M 36M 37M
UA,34T 35T 36T 37T 34U 35U 36U 37U
UG,35M 36M 35N 36N
UM,4M 1N 3N 2Q 18Q 58Q 1R
US,3Q 4Q 5Q 1R 2R 3R 12R 13R 14R 15R 16R 17R 10S 11S 12S 13S 14S 15S 16S 17S 18S 10T 11T 12T 13T 14T 15T 16T 17T 18T 19T 1U 2U 3U 4U 5U 8U 9U 10U 11U 12U 13U 14U 15U 16U 59U 60U 2V 3V 4V 5V 6V 7V 8V 9V 2W 3W 4W 5W 6W 7W
UY,21H 22H 21J 22J
UZ,41S 42S 40T 41T 42T 43T
VA,33T
VC,20P
VE,18N 19N 20N 18P 19P 20P 21P
VG,20Q
VI,20Q
VN,48P 49P 48Q 49Q
VU,58K 59K 58L 59L
WF,1L
WS,2L
XD,36S
YE,38P 39P 40P 38Q 39Q
YT,38L
