type,alt,territories
aa,secondary,"DJ ET"
ab,secondary,GE
abr,secondary,GH
ace,secondary,ID
ach,secondary,UG
ady,secondary,RU
aeb,secondary,TN
af,secondary,"NA ZA"
ak,secondary,GH
aln,secondary,XK
am,,ET
ar,,"AE BH DJ DZ EG EH ER IL IQ JO KM KW LB LY MA MR OM PS QA SA SD SO SY TD TN YE"
ar,secondary,"IR SS"
arq,secondary,DZ
ary,secondary,MA
arz,secondary,EG
as,secondary,IN
ast,secondary,ES
av,secondary,RU
awa,secondary,IN
ay,,BO
az,,AZ
az,secondary,"IQ IR RU"
ba,secondary,RU
bal,secondary,"AF IR PK"
ban,secondary,ID
bar,secondary,AT
bbc,secondary,ID
bci,secondary,CI
be,,BY
bej,secondary,SD
bem,secondary,ZM
bew,secondary,ID
bg,,BG
bgc,secondary,IN
bgn,secondary,PK
bhb,secondary,IN
bhi,secondary,IN
bhk,secondary,PH
bho,secondary,"IN MU NP"
bi,,VU
bik,secondary,PH
bin,secondary,NG
bjj,secondary,IN
bjn,secondary,ID
bjt,secondary,SN
bm,secondary,ML
bn,,BD
bn,secondary,IN
bo,secondary,CN
bqi,secondary,IR
brh,secondary,PK
brx,secondary,IN
bs,,BA
bsc,secondary,SN
buc,secondary,YT
bug,secondary,ID
bum,secondary,CM
ca,,AD
ca,secondary,ES
ce,secondary,RU
ceb,secondary,PH
cgg,secondary,UG
ch,,GU
chk,secondary,FM
ckb,secondary,"IQ IR"
crs,secondary,SC
cs,,CZ
csb,secondary,PL
cv,secondary,RU
cy,secondary,GB
da,,DK
da,secondary,DE
dcc,secondary,IN
de,,"AT BE CH DE LI LU"
de,secondary,"BR DK KZ NL PL US"
dje,secondary,NE
doi,secondary,IN
dv,,MV
dyo,secondary,SN
dyu,secondary,BF
dz,,BT
ee,secondary,"GH TG"
efi,secondary,NG
el,,"CY GR"
en,,"AG AI AS AU BB BI BM BS BW BZ CA CC CK CM CX DG DM ER FJ FK FM GB GD GG GH GI GM GU GY HK IE IM IN IO JE JM KE KI KN KY LC LR LS MG MH MP MS MT MU MW NA NF NG NR NU NZ PG PH PK PN PR PW RW SB SC SD SG SH SL SS SX SZ TC TK TO TT TV TZ UG UM US VC VG VI VU WS ZA ZM ZW"
en,secondary,"AC AR AT BA BD BE BG BR CH CL CY CZ DE DK DZ EG ES ET FI FR GR HR HU IL IQ IT JO KZ LB LK LT MA MX MY NL PL PT RO SE SI SK TA TH TR YE"
es,,"AR BO CL CO CR CU DO EA EC ES GQ GT HN IC MX NI PA PE PR PY SV UY VE"
es,secondary,"AD BZ DE GI PH US"
et,,EE
eu,secondary,ES
fa,,"AF IR"
fa,secondary,PK
fan,secondary,GQ
ff,secondary,"GN SN"
ffm,secondary,ML
fi,,FI
fi,secondary,SE
fil,,PH
fil,secondary,US
fj,,FJ
fo,,FO
fon,secondary,BJ
fr,,"BE BF BI BJ BL CA CD CF CG CH CI CM DJ DZ FR GA GF GN GP GQ HT KM LU MA MC MF MG ML MQ MU NC NE PF PM RE RW SC SN SY TD TG TN VU WF YT"
